field,Transect,Location,replicate,litter,Bareground,CorseWoddyDebris,Crytpo,Dung,ground,shrub,mid-storey,sub-canopy,canpoy,isc,locust
1,1,1,1,0.72,0.2,0.08,0,0,0.318181818,0.022727273,0.090909091,0.318181818,0.25,0.42,0
1,1,1,2,0.72,0.2,0.08,0,0,0.318181818,0.022727273,0.090909091,0.318181818,0.25,0.42,0
1,1,1,3,0.72,0.2,0.08,0,0,0.318181818,0.022727273,0.090909091,0.318181818,0.25,0.42,0
1,2,2,1,0.7,0.3,0,0,0.02,0.513513514,0,0.027027027,0.243243243,0.216216216,0.44,0
1,2,2,2,0.7,0.3,0,0,0.02,0.513513514,0,0.027027027,0.243243243,0.216216216,0.44,0.333333333
1,2,2,3,0.7,0.3,0,0,0.02,0.513513514,0,0.027027027,0.243243243,0.216216216,0.44,0
1,3,3,1,0.82,0.16,0,0.02,0,0.969230769,0.030769231,0,0,0,1,1.353846154
1,3,3,2,0.82,0.16,0,0.02,0,0.969230769,0.030769231,0,0,0,1,0
1,3,3,3,0.82,0.16,0,0.02,0,0.969230769,0.030769231,0,0,0,1,0.141176471
1,4,4,1,0.98,0,0,0,0.02,1,0,0,0,0,1,2.913669065
1,4,4,2,0.98,0,0,0,0.02,1,0,0,0,0,1,1.318681319
1,4,4,3,0.98,0,0,0,0.02,1,0,0,0,0,1,1.23655914
2,5,1,1,0.74,0.22,0,0,0.06,0.369565217,0,0.043478261,0.434782609,0.152173913,0.5,0
2,5,1,2,0.74,0.22,0,0,0.06,0.369565217,0,0.043478261,0.434782609,0.152173913,0.5,0.095238095
2,5,1,3,0.74,0.22,0,0,0.06,0.369565217,0,0.043478261,0.434782609,0.152173913,0.5,0
2,6,2,1,0.64,0.22,0,0.06,0.08,0.346938776,0.306122449,0.06122449,0.285714286,0,0.56,4.105263158
2,6,2,2,0.64,0.22,0,0.06,0.08,0.346938776,0.306122449,0.06122449,0.285714286,0,0.56,0.167938931
2,6,2,3,0.64,0.22,0,0.06,0.08,0.346938776,0.306122449,0.06122449,0.285714286,0,0.56,0.264150943
2,7,3,1,1,0,0,0,0,1,0,0,0,0,1,1.2
2,7,3,2,1,0,0,0,0,1,0,0,0,0,1,0.068410463
2,7,3,3,1,0,0,0,0,1,0,0,0,0,1,0.282258065
2,8,4,1,0.98,0,0,0,0.02,1,0,0,0,0,1,0.739495798
2,8,4,2,0.98,0,0,0,0.02,1,0,0,0,0,1,0.352941176
2,8,4,3,0.98,0,0,0,0.02,1,0,0,0,0,1,0.131868132
3,9,1,1,0.9,0.04,0.06,0,0,0.245508982,0.023952096,0.011976048,0.664670659,0.053892216,0.6,0
3,9,1,2,0.9,0.04,0.06,0,0,0.245508982,0.023952096,0.011976048,0.664670659,0.053892216,0.6,0
3,9,1,3,0.9,0.04,0.06,0,0,0.245508982,0.023952096,0.011976048,0.664670659,0.053892216,0.6,0.057471264
3,10,2,1,0.88,0.1,0.02,0,0,0.433333333,0.016666667,0.083333333,0.066666667,0.4,0.46,1.583333333
3,10,2,2,0.88,0.1,0.02,0,0,0.433333333,0.016666667,0.083333333,0.066666667,0.4,0.46,1.82
3,10,2,3,0.88,0.1,0.02,0,0,0.433333333,0.016666667,0.083333333,0.066666667,0.4,0.46,0.611111111
3,11,3,1,0.62,0.38,0,0,0,1,0,0,0,0,1,2.29787234
3,11,3,2,0.62,0.38,0,0,0,1,0,0,0,0,1,2.951456311
3,11,3,3,0.62,0.38,0,0,0,1,0,0,0,0,1,1.2
3,12,4,1,0.66,0.34,0,0,0,1,0,0,0,0,1,4.0625
3,12,4,2,0.66,0.34,0,0,0,1,0,0,0,0,1,4.918918919
3,12,4,3,0.66,0.34,0,0,0,1,0,0,0,0,1,4.78125
