Species,Type,1,2,3,4,5,6,7,8,9,10,11,12
Cheilanthes sp.,Fern,0,0,0,0,0,0,1,0,0,0,0,0
Medicargo polymorpha,forb,0,0,0,0,0,0,0,0,0,0,0,0
Austrostipa aristiglumis,Grass,0,2,1,0,0,0,0,0,0,0,0,0
Austrostipa bigeniculata,Grass,0,1,1,0,0,0,0,0,26,0,0,0
Enteropogon acicularis,Grass,4,8,4,26,0,0,27,16,1,4,12,18
Monachather paradoxus,grass,0,0,0,1,0,0,0,0,0,0,0,0
Paspalidium constrictum,Grass,0,0,0,0,0,0,0,1,9,1,0,0
Rytidosperma caesitosum,Grass,0,1,0,0,0,0,0,0,1,0,0,2
Sporobolus sp.,Grass,0,0,0,0,0,0,0,0,0,1,0,0
unknown grass,Grass,2,3,1,0,0,0,0,0,0,0,0,0
Calotis sp.,Herb,0,0,0,0,0,0,0,0,0,1,0,0
Chenopodium sp.,Herb,0,0,0,0,0,0,0,0,4,2,0,0
Dichondra sp.,Herb,0,0,0,0,0,0,0,0,0,1,0,0
Echium plantagineum,Herb,0,0,0,0,0,0,0,0,0,0,1,0
Einadia nutans,Herb,0,0,0,0,0,0,0,0,1,5,0,0
Lepidium sp.,Herb,1,0,1,0,0,0,0,9,0,0,0,0
Oxalis,Herb,0,0,1,0,0,0,0,0,1,0,0,1
Sclerolaena birchii,Herb,4,1,0,3,0,0,0,0,2,7,0,0
Sida sp.,Herb,0,0,0,2,0,0,0,0,1,2,1,1
Solanum sp.,Herb,0,0,0,1,0,0,0,0,0,1,0,0
unknown herb,Herb,1,0,1,0,0,0,0,1,0,0,2,0
Wahlenbergia sp.,Herb,0,0,0,0,0,0,0,0,0,1,0,0
Juncus subsecundus,Rushes ?,1,0,1,0,0,0,0,4,0,0,0,0
Cyperacea,sedge,0,0,0,0,0,0,0,0,0,0,0,2
Enchylaena tomentosa,shrub,0,0,2,0,0,0,0,0,0,0,0,0
