Year,Sample,Field,Transect,location,Total.APL,Total.OG,sort,walk,ra
2016,1,3,9,Forest,0,52,0,0,0
2016,1,3,10,Edge,2,24,0.083333333,1,0.083333333
2016,1,3,11,20 meters,8,94,0.085106383,6,0.510638298
2016,1,3,12,Grassland,5,16,0.3125,8,2.5
2016,2,2,5,Forest,0,32,0,2,0
2016,2,2,6,Edge,3,19,0.157894737,4,0.631578947
2016,2,2,7,20 meters,12,220,0.054545455,7,0.381818182
2016,2,2,8,Grassland,4,119,0.033613445,6,0.201680672
2016,3,3,9,Forest,0,50,0,2,0
2016,3,3,10,Edge,7,50,0.14,2,0.28
2016,3,3,11,20 meters,16,103,0.155339806,2,0.310679612
2016,3,3,12,Grassland,28,74,0.378378378,6,2.27027027
2016,4,1,1,Forest,0,36,0,2,0
2016,4,1,2,Edge,0,22,0,3,0
2016,4,1,3,20 meters,11,130,0.084615385,4,0.338461538
2016,4,1,4,Grassland,27,278,0.097122302,13,1.262589928
2016,5,2,5,Forest,1,63,0.015873016,4,0.063492063
2016,5,2,6,Edge,1,131,0.007633588,2,0.015267176
2016,5,2,7,20 meters,2,497,0.004024145,12,0.048289738
2016,5,2,8,Grassland,8,272,0.029411765,14,0.411764706
2016,6,3,9,Forest,1,87,0.011494253,2,0.022988506
2016,6,3,10,Edge,2,36,0.055555556,4,0.222222222
2016,6,3,11,20 meters,6,70,0.085714286,3,0.257142857
2016,6,3,12,Grassland,18,64,0.28125,11,3.09375
2016,7,1,1,Forest,0,16,0,12,0
2016,7,1,2,Edge,1,18,0.055555556,19,1.055555556
2016,7,1,3,20 meters,0,111,0,27,0
2016,7,1,4,Grassland,10,182,0.054945055,13,0.714285714
2016,8,2,5,Forest,0,71,0,13,0
2016,8,2,6,Edge,2,53,0.037735849,26,0.981132075
2016,8,2,7,20 meters,5,248,0.02016129,22,0.443548387
2016,8,2,8,Grassland,4,182,0.021978022,22,0.483516484
2016,9,1,1,Forest,0,4,0,11,0
2016,9,1,2,Edge,0,25,0,13,0
2016,9,1,3,20 meters,1,85,0.011764706,19,0.223529412
2016,9,1,4,Grassland,5,93,0.053763441,13,0.698924731
2017,10,1,1,Forest,0,3,0,4,0
2017,10,1,2,Edge,0,1,0,13,0
2017,10,1,3,20 meters,1,46,0.02173913,16,0.347826087
2017,10,1,4,Grassland,0,13,0,30,0
2017,11,2,5,Forest,0,2,0,6,0
2017,11,2,6,Edge,0,4,0,22,0
2017,11,2,7,20 meters,4,81,0.049382716,17,0.839506173
2017,11,2,8,Grassland,3,32,0.09375,12,1.125
2017,12,3,9,Forest,0,4,0,5,0
2017,12,3,10,Edge,2,11,0.181818182,11,2
2017,12,3,11,20 meters,1,23,0.043478261,14,0.608695652
2017,12,3,12,Grassland,5,25,0.2,17,3.4
2017,13,1,1,Forest,0,3,0,5,0
2017,13,1,2,Edge,0,4,0,6,0
2017,13,1,3,20 meters,2,136,0.014705882,10,0.147058824
2017,13,1,4,Grassland,5,68,0.073529412,24,1.764705882
2017,14,2,5,Forest,0,23,0,4,0
2017,14,2,6,Edge,0,9,0,7,0
2017,14,2,7,20 meters,6,115,0.052173913,14,0.730434783
2017,14,2,8,Grassland,6,84,0.071428571,6,0.428571429
2017,15,3,9,Forest,0,32,0,9,0
2017,15,3,10,Edge,0,27,0,3,0
2017,15,3,11,20 meters,1,12,0.083333333,12,1
2017,15,3,12,Grassland,13,49,0.265306122,23,6.102040816
