Year,Trial,Sample,Field,Transect,location,APL adult Male #,Wet Total mass (mg),Dry Total mass (mg),APL Adult Female #,Wet Total mass (mg),Dry Total mass (mg),APL 5th Male #,Wet Total mass (mg),Dry Total mass (mg),APL 5th Female #,Wet Total mass (mg),Dry Total mass (mg),APL 4thmale #,Wet Total mass (mg),Dry Total mass (mg),APL 4thFemale #,Wet Total mass (mg),Dry Total mass (mg),APL 1-3 #,Wet Total mass (mg),Dry Total mass (mg),Total APL,OG Adult male #,Wet Total mass (mg),Dry Total mass (mg),OG Adult Female #,Wet Total mass (mg),Dry Total mass (mg),OG Nymph #,Wet Total mass (mg),Dry Total mass (mg),Total OG
2017,1,1,1,1,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.213,0.07,3
2017,2,1,1,2,Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.045,1
2017,3,1,1,3,20 meters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.023,0.013,1,2,1.155,,2,0.59,0.047,42,0.35,0.192,46
2017,4,1,1,4,Grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.082,0.059,0,0,0,12,0.0246,0.117,13
2017,13,4,1,1,Forest,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.091,0.036,2,0.008,0,3
2017,14,4,1,2,Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.065,0.021,0,0,0,3,0.038,0.011,4
2017,15,4,1,3,20 meters,0,0,0,1,0.485,0.19,1,0.104,0.035,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0.536,0.187,133,1.869,0.674,136
2017,16,4,1,4,Grassland,0,0,0,0,0,0,1,0.097,0.025,0,0,0,2,0.134,0.043,1,0.066,0.026,1,0.021,0,5,4,0.45,0.186,4,1.525,0.563,60,0.782,0.271,68
2017,5,2,2,5,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.059,0.023,2
2017,6,2,2,6,Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.159,0.09,4
2017,7,2,2,7,20 meters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.049,,4,0,0,0,1,0.146,,80,0.598,0.309,81
2017,8,2,2,8,Grassland,1,0.144,0.072,1,0.343,0.146,0,0,0,0,0,0,1,0.02,0.014,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0.195,0.103,32
2017,17,5,2,5,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0.018,0,0,0,22,0.431,0.151,23
2017,18,5,2,6,Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.173,0.1,9
2017,19,5,2,7,20 meters,0,0,0,0,0,0,3,0.27,0.104,1,0.197,0.061,1,0.055,0.022,1,0.047,0.026,0,0,0,6,1,0.066,0.032,0,0,0,114,1.983,0.728,115
2017,20,5,2,8,Grassland,0,0,0,0,0,0,1,0.072,0.034,0,0,0,3,0.132,0.06,2,0.074,0.037,0,0,0,6,1,0.133,0.06,0,0,0,83,1.695,0.707,84
2017,9,3,3,9,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.207,0.063,4
2017,10,3,3,10,Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.054,0.015,2,0,0,0,0,0,0,11,0.136,0.047,11
2017,11,3,3,11,20 meters,0,0,0,1,0.469,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.132,0.048,1,0.174,,21,0.338,0.144,23
2017,12,3,3,12,Grassland,0,0,0,0,0,0,0,0,0,0,0,0,1,0.031,0.014,0,0,0,4,0.062,0.039,5,2,0.144,0.138,1,0.055,0.037,22,0.111,0.081,25
2017,21,6,3,9,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.829,0.27,32
2017,22,6,3,10,Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.295,0.103,26,0.437,0.156,27
2017,23,6,3,11,20 meters,0,0,0,0,0,0,0,0,0,0,0,0,1,0.074,0.032,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.309,0.225,12
2017,24,6,3,12,Grassland,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,0.035,2,0.146,0.049,9,0.225,,13,2,0.249,0.098,3,1.514,0.535,44,0.793,0.312,49
