Year,Field,Transect,Location,Sample,Abundance
2016,1,1,Forest,4,0
2016,1,1,Forest,7,0
2016,1,1,Forest,9,0
2016,2,5,Forest,2,0
2016,2,5,Forest,5,0.095238095
2016,2,5,Forest,8,0
2016,3,9,Forest,1,0
2016,3,9,Forest,3,0
2016,3,9,Forest,6,0.057471264
2016,1,2,Edge,4,0
2016,1,2,Edge,7,0.333333333
2016,1,2,Edge,9,0
2016,2,6,Edge,2,4.105263158
2016,2,6,Edge,5,0.167938931
2016,2,6,Edge,8,0.264150943
2016,3,10,Edge,1,1.583333333
2016,3,10,Edge,3,1.82
2016,3,10,Edge,6,0.611111111
2016,1,3,20 meters,4,1.353846154
2016,1,3,20 meters,7,0
2016,1,3,20 meters,9,0.141176471
2016,2,7,20 meters,2,1.2
2016,2,7,20 meters,5,0.068410463
2016,2,7,20 meters,8,0.282258065
2016,3,11,20 meters,1,2.29787234
2016,3,11,20 meters,3,2.951456311
2016,3,11,20 meters,6,1.2
2016,1,4,Grassland,4,2.913669065
2016,1,4,Grassland,7,1.318681319
2016,1,4,Grassland,9,1.23655914
2016,2,8,Grassland,2,0.739495798
2016,2,8,Grassland,5,0.352941176
2016,2,8,Grassland,8,0.131868132
2016,3,12,Grassland,1,4.0625
2016,3,12,Grassland,3,4.918918919
2016,3,12,Grassland,6,4.78125
