Field,Location,Transect,Sample,all Ants (Formicidae).p,Meat Ants.p,Bull Ants.p,other ants.p,CAVOGNATHIDAE.o,Passandidae,"HYGROBIIDAE.p
",LAMINGTONIIDAE.p,multillidae.o,Other Beetle.p,blattaria.o,diptera.o,Centipedes.p,Harvestmen (Opiliones).p,Caterpillar (Lepidoptera).o,Wolf spider (Lycosidae).p,Other spider.p,termite.o,Parasitic wasps.o,Other.o,Other wasps.o,Grillidae.o,Acrididae.o,Discolomatidae.o,Armadillidiidae    (Pill Bug) .o,isopoda.o,Pisauridae.p,Miturgidae   (Prowling Spider).p,Blaberidae.o
1,Tree stand,1,1,100,78,,22,,,,,,,,,,,,,3,,,1,,,,,,,,,
1,Tree stand,1,2,99,94,,5,,,,,,,,,,,,,2,,,,,,,,,,,,
1,Tree stand,1,3,115,114,,1,,,,,,,,1,,,,,1,,,1,,,,,,,,,
1,Tree stand,1,4,36,34,,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tree stand,1,5,59,,,59,3,,,,,,,,,,,,,,,,,,,,,,,,
1,Edge,2,1,39,37,,2,,,,,,,,7,,3,,1,2,,,,,,,1,,,,,
1,Edge,2,2,68,59,,9,,,,,,,,3,,2,,1,1,,,,,,,,,,,,
1,Edge,2,3,71,47,,24,,,,,,,,,,,,,,,,,,,,,,,,,
1,Edge,2,4,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1,20 Meters,3,1,83,77,,6,,,,,,,,2,,2,,,,,,,2,,,,,,,,
1,20 Meters,3,2,234,225,,9,,,,,,,,1,,,,,,,,,,,,,,,,,
1,20 Meters,3,3,88,35,,53,,,,,,2,,,,1,,,1,,,,,,,,,,,,
1,20 Meters,3,4,18,14,,3,,,,,,,,,,,,,1,,,,,,,,,,,,
1,20 Meters,3,5,22,5,,17,,,,,,,,1,,,,,,,,,,,,,,,,,
1,Grassland,4,1,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grassland,4,2,30,4,,26,,,,,,1,,,,1,,,1,,,,,,,,,,,,
1,Grassland,4,3,16,1,,15,,,,,,,,,,,,,1,,,,,,,,,,,,
1,Grassland,4,4,20,0,,20,,1,,,,,,,,,,,,,1,,,,,,,,,,
1,Grassland,4,5,11,0,,11,,,,,,,,,,1,,,,,,,,,,,,,,,
2,Tree stand,5,1,270,262,,8,,,,1,,,,2,,13,,,,,,,,,,,,,,,
2,Tree stand,5,2,88,69,,19,,,,,,,,,,2,,,,,,,,,,,,,,,
2,Tree stand,5,3,14,,,14,,,,,,,,,,,,1,,,,,,,,,,,,,
2,Tree stand,5,4,21,,,21,,,,,,,,3,,1,,2,,,,,,,,,,,,,
2,Tree stand,5,5,2,,,2,,,,,,,,2,,2,,,,,,,,,,,,,,,
2,Edge,6,1,10,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,
2,Edge,6,2,10,1,,9,,,,2,,,,,,1,,1,,,,,,,,,,,,,
2,Edge,6,3,9,2,,7,,,,,,,1,,,,,1,1,,,,,,,,,,,,
2,Edge,6,4,25,,,25,,,,,,,,3,,1,,1,,,,,,,,,,,,,
2,Edge,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,20 Meters,7,1,13,,,13,,,,,,,,1,,1,,1,1,,,,,,,,1,,,,
2,20 Meters,7,2,14,6,,8,,,,1,,,,1,,,,,,,,,,,,,,,,,
2,20 Meters,7,3,8,1,,7,,,,,,,,1,,,,1,,,,,,,,,,,,,
2,20 Meters,7,4,7,1,,6,,,,,,,,1,,,,,1,,,,,,,,,1,1,,
2,20 Meters,7,5,2,,,2,,,,1,,,1,,,,,,,,,,,,1,,,,,1,
2,Grassland,8,1,17,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,
2,Grassland,8,2,12,,,12,,,,1,,,1,,,,,,3,,,,,,1,,,,,,
2,Grassland,8,3,5,1,,4,,,3,1,,1,,,,,,,,,,,,,,,,,,,
2,Grassland,8,4,5,,,5,,,,2,,,,,,,,,,,,5,,,,,,,,,
2,Grassland,8,5,3,1,1,1,,,,4,,,,,,,,,,,,,,,,,,,,,
3,Tree stand,9,1,37,,,37,,,,1,,1,1,,,,,,,,,,,1,,,,,,,
3,Tree stand,9,2,25,,,25,,,,1,,,,,,,,,,,,,,,,,,,,,
3,Tree stand,9,3,22,,,22,,,,1,,,,,,,,,,,,,,,,,,,,,
3,Tree stand,9,4,35,,,35,,,,2,,,,,,,,,,,,,,1,,,,,,,
3,Tree stand,9,5,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
3,Edge,10,1,224,205,,19,,,,,,,,2,,2,,,,,,,,,1,,,,,,
3,Edge,10,2,558,544,,14,,,,,,1,,3,,3,6,,,,,,,,,,,,,,
3,Edge,10,3,596,589,,7,,,,,,,,7,,,,1,,,,,,,1,1,,,,,
3,Edge,10,4,230,214,,17,,,,,,,,13,,2,,,1,,,,,,,,,,,,
3,Edge,10,5,248,224,,24,,,,,,1,,4,,,,,,,,,,,,,,,,,
3,20 Meters,11,1,779,778,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,20 Meters,11,2,896,886,,10,,,,,,,,,1,,,,,,,,,,,,,,,,
3,20 Meters,11,3,615,613,,2,,,,,,,,,,,,,,,,,,,,,,,,,
3,20 Meters,11,4,317,308,,9,,,,,,1,1,10,,2,,,,1,,1,,,,,,,,,
3,20 Meters,11,5,249,238,,11,,,,,1,1,,7,,2,,,1,,,,,,,,,,,,
3,Grassland,12,1,485,480,,5,,,,,,1,1,,,1,,,,,,,,,,,,,,,
3,Grassland,12,2,303,284,,19,,,,,,2,,3,,3,,,,,1,,,,,,,,,,
3,Grassland,12,3,109,95,,14,,,,,,1,,,,,,,,,,,,3,,,,,,,
3,Grassland,12,4,105,87,,18,,,,,,2,,6,,,,1,1,,,,,,,,,,,,
3,Grassland,12,5,106,106,,,,,,,,,,,2,,,,,,,,,,,,,,,,
