Sample ID,Field,Transect,Location,Species,Carb %,Protein %
13,1,1,treestand,ENTEROPOGON,0.230331202,0.161611095
14,1,1,treestand,STIPA VARIABLE,0.163018451,0.160448088
10,1,2,edge,ENTEROPOGON,0.211797764,0.160191301
22,1,2,edge,STIPA VARIABLE,0.154721185,0.15868792
6,1,3,20 meters,ENTEROPOGON,0.248133814,0.20503473
17,1,3,20 meters,STIPA VARIABLE,0.153289796,0.187804657
12,1,4,grassland,ENTEROPOGON,0.224841714,0.232593926
16,2,5,treestand,STIPA VARIABLE,0.144255318,0.126860844
21,2,5,treestand,ENTEROPOGON,0.166835635,0.254436067
5,2,6,edge,STIPA VARIABLE,0.148243146,0.133184812
11,2,6,edge,ENTEROPOGON,0.178912162,0.220163103
2,2,7,20 meters,ENTEROPOGON,0.211668989,0.212618151
18,2,8,grassland,ENTEROPOGON,0.257876602,0.242896882
1,3,9,treestand,ENTEROPOGON,0.262527796,0.223054316
8,3,9,treestand,STIPA BIGENICULATA,0.206543371,0.11536223
3,3,10,edge,ENTEROPOGON,0.213319287,0.138973488
15,3,10,edge,STPA VARIABLE,0.160349182,0.04306408
19,3,10,edge,BOX GRASS,0.162954434,0.31732099
9,3,11,20 meters,STIPA SPP,0.162125228,0.117390689
4,3,12,grassland,STIPA VARIABLE,0.147864499,0.112843971
7,3,12,grassland,STIPA VARIABLE,0.178775628,0.148667274
20,3,12,grassland,ENTEROPOGON,0.187077022,0.206315434
