Year,Field,Transect,Location,Species,Functional Group,Carb %,Protein %,tot macro,prop protein
2016,2,5,treestand,Austrodanthonian,Grass,0.085422867,0.136645162,0.222068029,0.615330188
2016,1,2,edge,Austrodanthonian,Grass,0.155739645,0.064,0.219739645,0.29125377
2016,3,10,edge,Austrodanthonian,Grass,0.07783054,0.053670902,0.131501442,0.408139266
2016,2,8,grassland,Austrodanthonian,Grass,0.064735169,0.076378873,0.141114042,0.541256362
2016,3,9,treestand,Austrostipa,Grass,0.092123983,0.108113662,0.200237645,0.539926756
2016,2,5,treestand,Austrostipa,Grass,0.110501337,0.110256853,0.22075819,0.499446263
2016,1,2,edge,Austrostipa,Grass,0.065421388,0.070553268,0.135974656,0.518870722
2016,3,11,20 meters,Austrostipa,Grass,0.086720993,0.089985174,0.176706167,0.509236183
2016,1,1,treestand,Austrostipa,Grass,0.109491719,0.123558028,0.233049747,0.530178769
2016,3,9,treestand,Austrostipa,Grass,0.125978609,0.198101949,0.324080558,0.611273784
2016,1,3,20 meters,Austrostipa,Grass,0.079713334,0.099926105,0.179639439,0.55625928
2017,3,10,edge,Paspalidium constrictum,Grass,0.162954434,0.31732099,0.480275424,0.660706283
2016,3,10,edge,Chenopod,Forb,0.064186137,0.143785961,0.207972098,0.691371402
2016,3,10,edge,Enadianeifans,Forb,0.094618338,0.2092355,0.303853838,0.68860575
2016,1,1,treestand,Enteropogon,Grass,0.245326192,0.123199944,0.368526136,0.334304496
2016,2,5,treestand,Enteropogon,Grass,0.119366705,0.091237053,0.210603758,0.433216643
2016,3,9,treestand,Enteropogon,Grass,0.059109378,0.151191226,0.210300604,0.71892911
2016,2,6,edge,Enteropogon,Grass,0.168272575,0.139343056,0.307615631,0.452977814
2016,1,2,edge,Enteropogon,Grass,0.093621028,0.196354812,0.28997584,0.677141972
2016,3,10,edge,Enteropogon,Grass,0.072528174,0.0427,0.115228174,0.370569094
2016,2,7,20 meters,Enteropogon,Grass,0.095973602,0.080419554,0.176393156,0.455910852
2016,1,3,20 meters,Enteropogon,Grass,0.136949394,0.110570706,0.2475201,0.446714049
2016,3,11,20 meters,Enteropogon,Grass,0.080895512,0.065901335,0.146796847,0.448928818
2016,3,12,grassland,Enteropogon,Grass,0.207951475,0.09568334,0.303634815,0.31512638
2016,2,8,grassland,Enteropogon,Grass,0.082440722,0.126916819,0.209357541,0.606220432
2016,1,4,grassland,Enteropogon,Grass,0.075219298,0.066110045,0.141329343,0.467772959
2017,1,3,20 meters,Enteropogon,Grass,0.248133814,0.20503473,0.453168544,0.45244696
2017,2,7,20 meters,Enteropogon,Grass,0.211668989,0.212618151,0.42428714,0.501118537
2017,1,2,edge,Enteropogon,Grass,0.211797764,0.160191301,0.371989065,0.430634435
2017,2,6,edge,Enteropogon,Grass,0.178912162,0.220163103,0.399075265,0.551683159
2017,3,10,edge,Enteropogon,Grass,0.213319287,0.138973488,0.352292775,0.394482935
2017,1,4,grassland,Enteropogon,Grass,0.224841714,0.232593926,0.45743564,0.508473555
2017,2,8,grassland,Enteropogon,Grass,0.257876602,0.242896882,0.500773484,0.485043417
2017,3,12,grassland,Enteropogon,Grass,0.187077022,0.206315434,0.393392456,0.524451933
2017,1,1,treestand,Enteropogon,Grass,0.230331202,0.161611095,0.391942297,0.412333898
2017,2,5,treestand,Enteropogon,Grass,0.166835635,0.254436067,0.421271702,0.603971417
2017,3,9,treestand,Enteropogon,Grass,0.262527796,0.223054316,0.485582112,0.459354475
2016,2,8,grassland,Juncus,Forb,0.153222801,0.122434511,0.275657312,0.444154774
2016,2,8,grassland,Medic,Forb,0.12361014,0.227180072,0.350790212,0.647623748
2016,3,9,treestand,Paspalidium constrictum,Grass,0.083864283,0.147223554,0.231087837,0.637089152
2016,3,10,edge,Paspalidium constrictum,Grass,0.17086595,0.135131601,0.305997551,0.441610074
2016,3,10,edge,Sclerolena,Forb,0.074549923,0.140095836,0.214645759,0.652683923
2016,1,4,grassland,Sida,Forb,0.103489702,0.156725848,0.26021555,0.6022924
2017,3,9,treestand,Stipa spp,Grass,0.206543371,0.11536223,0.321905601,0.358372857
2017,3,11,20 meters,Stipa spp,Grass,0.162125228,0.117390689,0.279515917,0.419978548
2017,1,3,20 meters,Stipa Variable,Grass,0.153289796,0.187804657,0.341094453,0.550594287
2017,1,2,edge,Stipa Variable,Grass,0.154721185,0.15868792,0.313409105,0.506328366
2017,2,6,edge,Stipa Variable,Grass,0.148243146,0.133184812,0.281427958,0.473246556
2017,3,12,grassland,Stipa Variable,Grass,0.147864499,0.112843971,0.26070847,0.432835845
2017,3,12,grassland,Stipa Variable,Grass,0.178775628,0.148667274,0.327442902,0.454025032
2017,1,1,treestand,Stipa Variable,Grass,0.163018451,0.160448088,0.323466539,0.496026849
2017,2,5,treestand,Stipa Variable,Grass,0.144255318,0.126860844,0.271116162,0.467920625
2017,3,10,edge,Stipa Variable,Grass,0.160349182,0.04306408,0.203413262,0.211707337
2016,1,2,edge,unknown grass,Grass,0.110438917,0.108208978,0.218647895,0.494900616
