"","Year","Sample","Field","Transect","location","Total.APL","Total.OG","sort","walk","ra"
"1",2016,1,3,9,"Forest",0,52,0,0,0
"2",2016,1,3,10,"Edge",2,24,0.0833333333333333,1,0.0833333333333333
"3",2016,1,3,11,"20 meters",8,94,0.0851063829787234,6,0.51063829787234
"4",2016,1,3,12,"Grassland",5,16,0.3125,8,2.5
"5",2016,2,2,5,"Forest",0,32,0,2,0
"6",2016,2,2,6,"Edge",3,19,0.157894736842105,4,0.631578947368421
"7",2016,2,2,7,"20 meters",12,220,0.0545454545454545,7,0.381818181818182
"8",2016,2,2,8,"Grassland",4,119,0.0336134453781513,6,0.201680672268908
"9",2016,3,3,9,"Forest",0,50,0,2,0
"10",2016,3,3,10,"Edge",7,50,0.14,2,0.28
"11",2016,3,3,11,"20 meters",16,103,0.155339805825243,2,0.310679611650485
"12",2016,3,3,12,"Grassland",28,74,0.378378378378378,6,2.27027027027027
"13",2016,4,1,1,"Forest",0,36,0,2,0
"14",2016,4,1,2,"Edge",0,22,0,3,0
"15",2016,4,1,3,"20 meters",11,130,0.0846153846153846,4,0.338461538461538
"16",2016,4,1,4,"Grassland",27,278,0.0971223021582734,13,1.26258992805755
"17",2016,5,2,5,"Forest",1,63,0.0158730158730159,4,0.0634920634920635
"18",2016,5,2,6,"Edge",1,131,0.00763358778625954,2,0.0152671755725191
"19",2016,5,2,7,"20 meters",2,497,0.00402414486921529,12,0.0482897384305835
"20",2016,5,2,8,"Grassland",8,272,0.0294117647058824,14,0.411764705882353
"21",2016,6,3,9,"Forest",1,87,0.0114942528735632,2,0.0229885057471264
"22",2016,6,3,10,"Edge",2,36,0.0555555555555556,4,0.222222222222222
"23",2016,6,3,11,"20 meters",6,70,0.0857142857142857,3,0.257142857142857
"24",2016,6,3,12,"Grassland",18,64,0.28125,11,3.09375
"25",2016,7,1,1,"Forest",0,16,0,12,0
"26",2016,7,1,2,"Edge",1,18,0.0555555555555556,19,1.05555555555556
"27",2016,7,1,3,"20 meters",0,111,0,27,0
"28",2016,7,1,4,"Grassland",10,182,0.0549450549450549,13,0.714285714285714
"29",2016,8,2,5,"Forest",0,71,0,13,0
"30",2016,8,2,6,"Edge",2,53,0.0377358490566038,26,0.981132075471698
"31",2016,8,2,7,"20 meters",5,248,0.0201612903225806,22,0.443548387096774
"32",2016,8,2,8,"Grassland",4,182,0.021978021978022,22,0.483516483516484
"33",2016,9,1,1,"Forest",0,4,0,11,0
"34",2016,9,1,2,"Edge",0,25,0,13,0
"35",2016,9,1,3,"20 meters",1,85,0.0117647058823529,19,0.223529411764706
"36",2016,9,1,4,"Grassland",5,93,0.0537634408602151,13,0.698924731182796
"37",2017,10,1,1,"Forest",0,3,0,4,0
"38",2017,10,1,2,"Edge",0,1,0,13,0
"39",2017,10,1,3,"20 meters",1,46,0.0217391304347826,16,0.347826086956522
"40",2017,10,1,4,"Grassland",0,13,0,30,0
"41",2017,11,2,5,"Forest",0,2,0,6,0
"42",2017,11,2,6,"Edge",0,4,0,22,0
"43",2017,11,2,7,"20 meters",4,81,0.0493827160493827,17,0.839506172839506
"44",2017,11,2,8,"Grassland",3,32,0.09375,12,1.125
"45",2017,12,3,9,"Forest",0,4,0,5,0
"46",2017,12,3,10,"Edge",2,11,0.181818181818182,11,2
"47",2017,12,3,11,"20 meters",1,23,0.0434782608695652,14,0.608695652173913
"48",2017,12,3,12,"Grassland",5,25,0.2,17,3.4
"49",2017,13,1,1,"Forest",0,3,0,5,0
"50",2017,13,1,2,"Edge",0,4,0,6,0
"51",2017,13,1,3,"20 meters",2,136,0.0147058823529412,10,0.147058823529412
"52",2017,13,1,4,"Grassland",5,68,0.0735294117647059,24,1.76470588235294
"53",2017,14,2,5,"Forest",0,23,0,4,0
"54",2017,14,2,6,"Edge",0,9,0,7,0
"55",2017,14,2,7,"20 meters",6,115,0.0521739130434783,14,0.730434782608696
"56",2017,14,2,8,"Grassland",6,84,0.0714285714285714,6,0.428571428571429
"57",2017,15,3,9,"Forest",0,32,0,9,0
"58",2017,15,3,10,"Edge",0,27,0,3,0
"59",2017,15,3,11,"20 meters",1,12,0.0833333333333333,12,1
"60",2017,15,3,12,"Grassland",13,49,0.26530612244898,23,6.10204081632653
