,ï..Year,Paddock,Transect,Groundcover,freq,pro
1,2016,Back Aero,9,B,2,0.04
2,2016,Back Aero,9,CWD,3,0.06
3,2016,Back Aero,9,L,45,0.9
4,2016,Back Aero,10,B,5,0.1
5,2016,Back Aero,10,CWD,1,0.02
6,2016,Back Aero,10,L,44,0.88
7,2016,Back Aero,11,B,19,0.38
8,2016,Back Aero,11,L,31,0.62
9,2016,Back Aero,12,B,17,0.34
10,2016,Back Aero,12,L,33,0.66
11,2016,Bottom3,5,B,11,0.22
12,2016,Bottom3,5,D,3,0.06
13,2016,Bottom3,5,L,36,0.72
14,2016,Bottom3,6,B,11,0.22
15,2016,Bottom3,6,C,3,0.06
16,2016,Bottom3,6,D,4,0.08
17,2016,Bottom3,6,L,32,0.64
18,2016,Bottom3,7,L,50,1
19,2016,Bottom3,8,D,1,0.02
20,2016,Bottom3,8,L,49,0.98
21,2016,Formans ,1,B,10,0.2
22,2016,Formans ,1,CWD,4,0.08
23,2016,Formans ,1,L,36,0.72
24,2016,Formans ,2,B,15,0.3
25,2016,Formans ,2,L,35,0.7
26,2016,Formans ,3,B,8,0.16
27,2016,Formans ,3,C,1,0.02
28,2016,Formans ,3,L,41,0.82
29,2016,Formans ,4,D,1,0.02
30,2016,Formans ,4,L,49,0.98
31,2017,Back Aero,9,B,5,0.1
32,2017,Back Aero,9,CWD,3,0.06
33,2017,Back Aero,9,L,42,0.84
34,2017,Back Aero,10,B,3,0.06
35,2017,Back Aero,10,CWD,2,0.04
36,2017,Back Aero,10,L,45,0.9
37,2017,Back Aero,11,B,28,0.56
38,2017,Back Aero,11,CWD,1,0.02
39,2017,Back Aero,11,L,21,0.42
40,2017,Back Aero,12,B,6,0.12
41,2017,Back Aero,12,L,44,0.88
42,2017,Bottom3,5,B,8,0.16
43,2017,Bottom3,5,CWD,4,0.08
44,2017,Bottom3,5,L,38,0.76
45,2017,Bottom3,6,B,17,0.34
46,2017,Bottom3,6,CWD,1,0.02
47,2017,Bottom3,6,L,32,0.64
48,2017,Bottom3,7,L,50,1
49,2017,Bottom3,8,L,50,1
50,2017,Formans ,1,B,8,0.16
51,2017,Formans ,1,CWD,1,0.02
52,2017,Formans ,1,L,41,0.82
53,2017,Formans ,2,B,12,0.24
54,2017,Formans ,2,CWD,3,0.06
55,2017,Formans ,2,L,35,0.7
56,2017,Formans ,3,B,14,0.28
57,2017,Formans ,3,CWD,1,0.02
58,2017,Formans ,3,D,1,0.02
59,2017,Formans ,3,L,34,0.68
60,2017,Formans ,4,B,4,0.08
61,2017,Formans ,4,L,46,0.92
